threshold,p,r,f
0,0.12872628726287264,0.9223300970873787,0.22592152199762186
0.05,0.1888412017167382,0.8543689320388349,0.30931458699472764
0.1,0.3125,0.6310679611650486,0.41800643086816724
0.15,0.44537815126050423,0.5145631067961165,0.47747747747747754
0.2,0.5466666666666666,0.39805825242718446,0.46067415730337075
0.25,0.6976744186046512,0.2912621359223301,0.410958904109589
0.3,0.72,0.17475728155339806,0.28125
0.35,0.7777777777777778,0.13592233009708737,0.23140495867768593
0.4,0.8,0.11650485436893204,0.2033898305084746
0.45,0.7857142857142857,0.10679611650485436,0.18803418803418803
0.5,0.7692307692307693,0.0970873786407767,0.1724137931034483
0.55,0.75,0.05825242718446602,0.10810810810810811
0.6,0.7142857142857143,0.04854368932038835,0.09090909090909091
0.65,0.7142857142857143,0.04854368932038835,0.09090909090909091
0.7,0.7142857142857143,0.04854368932038835,0.09090909090909091
0.75,0.6666666666666666,0.038834951456310676,0.07339449541284404
0.8,0.8,0.038834951456310676,0.07407407407407407
0.85,1.0,0.038834951456310676,0.07476635514018691
0.9,1.0,0.038834951456310676,0.07476635514018691
